,SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
0,11331,329,329
1,11332,175,175
2,11333,1849,304
8,11334,329,339
16,11335,304,315
21,11336,2725,334
32,11337,2725,334
43,11338,156,278
46,11339,266,266
47,11340,3500,949
49,11341,699,699
50,11342,1022,1500
56,11343,228,289
60,11344,115,145
64,11345,2499,3618
70,11346,1099,499
72,11347,1200,1246
75,11348,255,325
81,11349,239,249
88,11350,1499,225
97,11351,1022,4062
103,11352,320,411
105,11353,2000,2614
114,11354,325,390
118,11355,390,390
127,11356,250,259
142,11357,383,385
159,11358,1250,1259
170,11359,119,127
175,11360,139,140
187,11361,127,165
191,11362,132,175
195,11363,129,135
213,11364,120,139
220,11365,425,475
223,11366,425,475
226,11367,350,443
229,11368,395,455
233,11369,435,450
247,11370,1750,509
255,11371,1094,1129
270,11372,1050,1069
285,11373,1080,1084
309,11374,125,133
319,11376,1650,295
331,11377,185,199
340,11378,180,215
346,11379,119,162
350,11380,158,200
354,11381,120,125
360,11382,210,217
381,11383,312,315
394,11384,150,218
413,11385,1800,2258
425,11386,125,269
433,11388,260,297
443,11389,316,354
457,11390,1799,189
475,11391,1799,189
493,11392,199,239
511,11393,1350,159
524,11394,165,169
540,11395,285,311
557,11397,171,219
577,11398,06082?,06947?
594,11399,189,190
608,11400,1000,215
623,11401,108,109
627,11402,162,175
637,11403,209,209
652,11404,130,155
672,11405,269,275
687,11406,225,228
707,11407,114,119
716,11408,163,245
726,11409,219,228
731,11410,206,209
753,11411,129,129
766,11412,135,140
777,11413,195,195
786,11414,154,45
792,11415,1700,234
810,11416,144,149
832,11417,525,525
845,11418,1039,1050
862,11419,1012,1020
879,11420,407,425
886,11421,300,325
908,11422,215,219
914,11423,1316,1362
922,11424,1074,177
931,11425,195,197
943,11426,159,219
960,11427,2287,2412
972,11428,129,133
988,11429,200,210
1010,11430,239,241
1016,11431,1643,1704
1021,11432,1680,199
1027,11433,278,284
1039,11434,189,202
1041,11435,1000,1200
1065,11436,621,625
1078,11437,399,400
1105,11438,1099,1099
1117,11439,1160,1485
1125,11440,1110,1200
1136,11441,695,810
1140,11442,514,750
1150,11444,1582,1650
1160,11445,1582,1650
1170,11446,1000,1004
1181,11448,1333,1333
1196,11449,1040,725
1206,11451,1119,1150
1223,11452,1095,1364
1230,11453,1099,1100
1242,11454,1080,1100
1260,11455,1098,1120
1276,11456,1887,599
1283,11458,2516,2652
1290,11459,129,129
1298,11460,449,450
1305,11461,1824,459
1313,11462,557,557
1314,11463,557,650
1316,11464,535,560
1333,11465,789,795
1345,11466,1076,1210
